Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;225723;;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;227076;0,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;228436;0,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;229805;0,60%;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;231157;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;232518;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;233886;0,59%;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;235238;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;236598;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;237966;0,58%;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;239319;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;240680;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;242048;0,57%;1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;243292;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;244542;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;245798;0,51%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;247163;0,56%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;248284;0,45%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;253224;1,99%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;255074;0,73%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;258309;1,27%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;260276;0,76%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;259900;-0,14%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;263154;1,25%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;264400;0,47%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;265000;0,23%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;266000;0,38%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;267563;0,59%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;267800;0,09%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;268500;0,26%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;269034;0,20%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;268800;-0,09%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;268300;-0,19%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;270085;0,67%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;268900;-0,44%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;268800;-0,04%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;271208;0,90%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;271100;-0,04%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;270900;-0,07%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;269213;-0,62%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;270300;0,40%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;271800;0,55%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;273394;0,59%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;275300;0,70%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
