Bevölkerung: Großherzogtum Hessen-Darmstadt (HED);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Oberhessen (OBH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;249489;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;251774;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;254080;0,92%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;255172;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;256269;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;257371;0,43%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;259236;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;261114;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;263006;0,72%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;265854;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;268732;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;271642;1,08%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;273200;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;274767;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;276343;0,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;278243;0,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;280155;0,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;282081;0,69%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;284241;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;286418;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;288611;0,77%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;291600;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;294620;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;297672;1,04%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;300186;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;302721;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;305277;0,84%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;306890;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;308511;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;310141;0,53%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;309536;-0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;308932;-0,20%;5;;Als Kommissarbezirk der Provinzhauptstadt (Ebene Provinz).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;308330;-0,20%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;308758;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;309187;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;309617;0,14%;1;2;Als Provinz (Ebene Regierungsbezirk).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;306016;-1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;302457;-1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;298939;-1,16%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;299361;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;299784;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;300208;0,14%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;300029;-0,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;299851;-0,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;299672;-0,06%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;296262;-1,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;292891;-1,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;289559;-1,14%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;276223;-4,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;263501;-4,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;251365;-4,61%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;251933;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;252503;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;253074;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;253646;0,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;253743;0,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;253841;0,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;253938;0,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;254036;0,04%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;256117;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;258215;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;260331;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;262464;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;264614;0,82%;1;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;264299;-0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;263985;-0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;263671;-0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;263357;-0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;263044;-0,12%;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;263615;0,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;264187;0,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;264761;0,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;265336;0,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;265912;0,22%;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;267025;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
