Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Hohenzollernsche Lande (HOH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;65634;;1;1;Die vormaligen Fürstentümer Hohenzollern.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;64852;-1,19%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;64079;-1,19%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;63316;-1,19%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;63621;0,48%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;63927;0,48%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;64235;0,48%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;64381;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;64528;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;64675;0,23%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;64769;0,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;64864;0,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;64958;0,15%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;64849;-0,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;64740;-0,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;64632;-0,17%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;64862;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;65093;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;65325;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;65558;0,36%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;65700;0,22%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;65900;0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;66200;0,46%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;66466;0,40%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;66600;0,20%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;66800;0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;67000;0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;67300;0,45%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;67624;0,48%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;67600;-0,04%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;67500;-0,15%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;67300;-0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;67100;-0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;66720;-0,57%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;66700;-0,03%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;66800;0,15%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;66900;0,15%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;66700;-0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;66085;-0,92%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;66000;-0,13%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;66000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;66000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;65800;-0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;65752;-0,07%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;66000;0,38%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;66200;0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;66400;0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;66500;0,15%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;66780;0,42%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;67000;0,33%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;67300;0,45%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;67600;0,45%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;67900;0,44%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;68282;0,56%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;68600;0,47%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;69000;0,58%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;69600;0,87%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;70200;0,86%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;71011;1,16%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;71000;-0,02%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;71000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;72000;1,41%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;72000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Köllmann/Kraus, Bevölkerungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10: Stat. Jb. Dt. Reich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
