;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Potsdam (POT) einschl. Berlin (BER);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;794925;;5;2;Summierte Werte.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;805094;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;806122;0,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;815568;1,17%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;817075;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;818811;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;832121;1,63%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;833653;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;834524;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;843973;1,13%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;844377;0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;845704;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;860413;1,74%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;862313;0,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;864682;0,27%;5;;Herrschaft Beeskow vom Reg.Bez. Frankfurt zum Reg.Bez. Potsdam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;879013;1,66%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;880504;0,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;882242;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;925521;4,91%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;927506;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;929675;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;948440;2,02%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;953381;0,52%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;955102;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;1003793;5,10%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;1006423;0,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;1007423;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;1019193;1,17%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;1022296;0,30%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;1026775;0,44%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;1034249;0,73%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;1036973;0,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;1041498;0,44%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;1042774;0,12%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;1034491;-0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;1042791;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;1053928;1,07%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;1064191;0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;1082391;1,71%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;1142862;5,59%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;1159391;1,45%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;1187691;2,44%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;1228040;3,40%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;1241191;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;1262091;1,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;1297728;2,82%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;1315591;1,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;1347591;2,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;1380891;2,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;1421632;2,95%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;1437691;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;1471491;2,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;1507291;2,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
