;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Württemberg (WUE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Gesamtgebiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1815;1397477;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;1410327;0,92%;1;1;Von 1816-1822 die ortsangehörige Bevölkerung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;1394376;-1,13%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;1396434;0,15%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;1411073;1,05%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;1425624;1,03%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;1444165;1,30%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;1458749;1,01%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;1477108;1,26%;1;1;Von 1823-1833 die staatsangehörige Bevölkerung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1493485;1,11%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;1505720;0,82%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;1517770;0,80%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;1535356;1,16%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;1550215;0,97%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;1562233;0,78%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;1575051;0,82%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;1587583;0,80%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;1593671;0,38%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;1587448;-0,39%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;1571012;-1,04%;1;1;Von 1834-1870 die Wohnbevölkerung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;1577500;0,41%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;1591500;0,89%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;1612073;1,29%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;1618000;0,37%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;1629500;0,71%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;1646871;1,07%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;1653000;0,37%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;1665500;0,76%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;1680798;0,92%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;1690000;0,55%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;1706500;0,98%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;1726716;1,18%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;1730000;0,19%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;1734000;0,23%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;1744595;0,61%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;1745000;0,02%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;1744000;-0,06%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;1733263;-0,62%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;1724000;-0,53%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;1704000;-1,16%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;1669720;-2,01%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
