Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Aachen (ACH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;307958;;1;2;Provinz Niederrhein.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;311922;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;315937;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;320004;1,29%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;321818;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;323642;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;325477;0,57%;1;2;Ab 1822 Rheinprovinz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;329421;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;333413;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;337453;1,21%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;341138;1,09%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;344863;1,09%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;348629;1,09%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;350655;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;352693;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;354742;0,58%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;357089;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;359452;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;361831;0,66%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;365022;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;368241;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;371489;0,88%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;376065;1,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;380698;1,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;385388;1,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;388386;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;391407;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;394451;0,78%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;397154;0,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;399876;0,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;402617;0,69%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;405565;0,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;408534;0,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;411525;0,73%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;415080;0,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;418665;0,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;422282;0,86%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;426895;1,09%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;431559;1,09%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;436274;1,09%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;439710;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;443173;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;446663;0,79%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;450655;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;454682;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;458746;0,89%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;463128;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;467552;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;472018;0,96%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;474727;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;477452;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;480192;0,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;482825;0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;485472;0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;488134;0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;490810;0,55%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;493718;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;496642;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;499584;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;502544;0,59%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;506782;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;511057;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;515367;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;519714;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;524097;0,84%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;528129;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;532191;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;536285;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;540411;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;544568;0,77%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;548510;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;552481;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;556480;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;560508;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;564566;0,72%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;569587;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;574654;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;579765;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;584921;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;590124;0,89%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;595010;0,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;599937;0,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;604905;0,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;609914;0,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;614964;0,83%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;621913;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;628941;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;636048;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;643235;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;650504;1,13%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;658366;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;666324;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;674377;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;682528;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;690777;1,21%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;694000;0,47%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;701000;1,01%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;708000;1,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;716000;1,13%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
