Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Oppeln (OPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;524784;;1;2;Einschl. Kreis Krenzburg.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;536644;2,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;548771;2,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;561173;2,26%;1;2;Kreis Krenzburg zum Reg.Bez. Oppeln.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;579315;3,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;598044;3,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;617379;3,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;630166;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;643217;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;656539;2,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;668876;1,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;681446;1,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;694251;1,88%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;705983;1,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;717913;1,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;730044;1,69%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;739242;1,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;748555;1,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;757986;1,26%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;774110;2,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;790576;2,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;807393;2,13%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;839011;3,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;871867;3,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;906010;3,92%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;917079;1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;928283;1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;939624;1,22%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;955260;1,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;971157;1,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;987318;1,66%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;980130;-0,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;972995;-0,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;965912;-0,73%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;978967;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;992199;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;1005609;1,35%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;1008525;0,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;1011450;0,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;1014383;0,29%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;1035052;2,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;1056143;2,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;1077663;2,04%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;1097361;1,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;1117419;1,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;1137844;1,83%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;1155741;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;1173920;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;1192384;1,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;1208478;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;1224789;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;1241320;1,35%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;1258040;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;1274985;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;1292158;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;1309563;1,35%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;1325952;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;1342547;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;1359349;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;1376362;1,25%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;1389110;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;1401977;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;1414963;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;1428069;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;1441296;0,93%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;1452384;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;1463557;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;1474816;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;1486162;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;1497595;0,77%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;1513290;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;1529149;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;1545174;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;1561368;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;1577731;1,05%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;1603374;1,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;1629433;1,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;1655916;1,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;1682830;1,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;1710181;1,63%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;1740668;1,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;1771697;1,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;1803281;1,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;1835427;1,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;1868146;1,78%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;1900497;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;1933408;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;1966889;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;2000950;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;2035601;1,73%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;2068965;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;2102876;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;2137343;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;2172375;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;2207981;1,64%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;2228000;0,91%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;2264000;1,62%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;2301000;1,63%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;2330000;1,26%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
