Bevölkerung: Königreich Sachsen (SAC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Kreisdirektion/ Kreishauptmannschaft Dresden (DRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;411864;;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;414827;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;417811;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;420817;0,72%;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;425293;1,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;429816;1,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;434387;1,06%;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;439390;1,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;444450;1,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;449569;1,15%;1;2;Stadt Hainichen von Dresden zu Leipzig (1843: 5580 Einwohner).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;454364;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;459210;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;464107;1,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;469685;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;475329;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;481042;1,20%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;491202;2,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;501576;2,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
