Bevölkerung: Königreich Sachsen (SAC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Kreisdirektion/ Kreishauptmannschaft Bautzen (BAU);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;257444;;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;259254;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;261077;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;262913;0,70%;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;265423;0,95%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;267957;0,95%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;270515;0,95%;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;272511;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;274522;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;276548;0,74%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;279719;1,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;282927;1,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;286171;1,15%;1;2;Schirgiswalde (ca. 2000 Einwohner) von Österreich an Sachsen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;287636;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;289109;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;290589;0,51%;1;2;Gebietst. zw. Österreich und Sachsen, Zuwachs für Sachsen ca. 600 Einwohner.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;292364;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;294150;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
