Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;3560000;;2;1;Zahl laut Bundesmatrikel 1816.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;3633230;2,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;3707966;2,06%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;3743900;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;3780200;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;3816900;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;3853900;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;3891300;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;3929100;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;3967200;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;4005700;0,97%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;4044569;0,97%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;4037017;-0,19%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;4085057;1,19%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;4133760;1,19%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;4161721;0,68%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;4189871;0,68%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;4218211;0,68%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;4246778;0,68%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;4269536;0,54%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;4292416;0,54%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;4315469;0,54%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;4334025;0,43%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;4352888;0,44%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;4370997;0,42%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;4384600;0,31%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;4408000;0,53%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;4440327;0,73%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;4448100;0,18%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;4467400;0,43%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;4504874;0,84%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;4506100;0,03%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;4504300;-0,04%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;4520751;0,37%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;4530600;0,22%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;4546200;0,34%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;4559452;0,29%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;4556400;-0,07%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;4552300;-0,09%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;4541556;-0,24%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;4556500;0,33%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;4581900;0,56%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;4615748;0,74%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;4628300;0,27%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;4656800;0,62%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;4689837;0,71%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;4710100;0,43%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;4747700;0,80%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;4807440;1,26%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;4814700;0,15%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;4828700;0,29%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;4824421;-0,09%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;4821700;-0,06%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;4834400;0,26%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;4851500;0,35%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;4863450;0,25%;1;1;Einschl. 11424 bayerische Truppen, die zur Zeit der Zählung in Frankreich waren.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;4870500;0,14%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;4906900;0,75%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;4950900;0,90%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;5022390;1,44%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;5056800;0,69%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;5115500;1,16%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;5171300;1,09%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
