Bevölkerung: Königreich Württemberg (WUE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Stadt Stuttgart (STU);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;22550;;7;;Einem Kreis (Reg.Bez.) gleichgestellt bis 1822.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;22686;0,60%;1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;24661;8,71%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;26809;8,71%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;29143;8,71%;1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;29820;2,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;30513;2,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;31222;2,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;31947;2,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;32689;2,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;33449;2,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;34226;2,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;35021;2,32%;1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;35223;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;35425;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;35629;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;35835;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;36041;0,58%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;36915;2,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;37810;2,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;38727;2,42%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;40373;4,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;42088;4,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;43877;4,25%;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;45409;3,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;46994;3,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;48635;3,49%;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;48368;-0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;48102;-0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;47837;-0,55%;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;48548;1,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;49270;1,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;50003;1,49%;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;50269;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;50536;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;50804;0,53%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;52631;3,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;54523;3,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;56483;3,60%;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;58049;2,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;59659;2,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;61314;2,77%;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;63802;4,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;66390;4,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;69084;4,06%;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
