;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Bayern (BAY);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Untermainkreis (UMK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;501212;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;505637;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;510102;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;514605;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;519149;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;523732;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;528356;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;533021;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;537727;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;542475;0,88%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;547092;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;551748;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;556444;0,85%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;560830;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;565250;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;569705;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;574195;0,79%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;578731;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;583303;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;587911;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
